ID,高さ,幅,厚み,種類
kp01,2.6,0.8,0.4,柿の種
kp02,2.6,0.7,0.5,柿の種
kp03,2.7,0.8,0.4,柿の種
kp04,2.6,0.7,0.5,柿の種
kp05,2.6,0.8,0.4,柿の種
kp06,2.8,0.75,0.45,柿の種
kp07,2.8,0.7,0.5,柿の種
kp08,3,0.8,0.5,柿の種
kp09,1.7,0.9,0.9,ピーナッツ
kp10,2.6,0.8,0.4,柿の種
kp11,2.6,0.8,0.5,柿の種
kp12,2.6,0.8,0.4,柿の種
kp13,2.7,0.7,0.6,柿の種
kp14,2.2,0.8,1,ピーナッツ
kp15,1.5,0.9,0.9,ピーナッツ
kp16,2.75,0.6,0.65,柿の種
kp17,3,0.7,0.4,柿の種
kp18,2.55,0.7,0.5,柿の種
kp19,2.8,0.8,0.5,柿の種
kp20,2.6,0.7,0.55,柿の種
kp21,1.7,0.9,0.8,ピーナッツ
kp22,1.7,0.9,0.9,ピーナッツ
kp23,2.75,0.8,0.45,柿の種
kp24,3,0.9,0.4,柿の種
kp25,2.5,0.7,0.45,柿の種
kp26,2.6,0.75,0.4,柿の種
kp27,2.5,0.7,0.5,柿の種
kp28,1.9,0.9,0.9,ピーナッツ
kp29,2.65,0.65,0.6,柿の種
kp30,2.7,0.7,0.5,柿の種
kp31,2.8,0.7,0.45,柿の種
kp32,2.6,0.8,0.5,柿の種
kp33,1.7,0.85,0.9,ピーナッツ
kp34,1.85,0.8,0.85,ピーナッツ
kp35,2.6,0.75,0.5,柿の種
kp36,2.65,0.85,0.6,柿の種
kp37,2.6,0.7,0.5,柿の種
kp38,2.95,0.7,0.7,柿の種
kp39,2.65,0.7,0.45,柿の種
kp40,2.1,1,0.9,ピーナッツ
kp41,1.8,0.9,0.9,ピーナッツ
kp42,1.55,0.9,0.8,ピーナッツ
kp43,2.65,0.8,0.4,柿の種
kp44,2.8,0.8,0.35,柿の種
kp45,2.55,0.8,0.3,柿の種
kp46,2.5,0.6,0.5,柿の種
kp47,2.5,0.8,0.6,柿の種
kp48,2.6,0.8,0.5,柿の種
kp49,2.8,0.75,0.4,柿の種
kp50,2.6,0.7,0.4,柿の種
